vin	V(vout)
Step Information: Vref=500m  (Run: 1/3)
0.000000000000000e+000	1.500003e+000
5.000000000000000e-002	1.400003e+000
1.000000000000000e-001	1.300004e+000
1.500000000000000e-001	1.200004e+000
2.000000000000000e-001	1.100004e+000
2.500000000000000e-001	1.000005e+000
3.000000000000000e-001	9.000048e-001
3.500000000000000e-001	8.000051e-001
4.000000000000000e-001	7.000055e-001
4.500000000000000e-001	6.000057e-001
4.999999999999999e-001	5.000061e-001
5.499999999999999e-001	4.000064e-001
6.000000000000000e-001	3.000067e-001
6.500000000000000e-001	2.000071e-001
7.000000000000001e-001	1.000075e-001
7.500000000000001e-001	1.658579e-002
8.000000000000002e-001	3.803647e-003
8.500000000000002e-001	3.429350e-003
9.000000000000002e-001	3.446437e-003
9.500000000000003e-001	3.551459e-003
1.000000000000000e+000	3.693662e-003
1.050000000000000e+000	3.852194e-003
1.100000000000000e+000	4.019648e-003
1.150000000000000e+000	4.192344e-003
1.200000000000000e+000	4.368248e-003
1.250000000000000e+000	4.546164e-003
1.300000000000001e+000	4.725358e-003
1.350000000000001e+000	4.905374e-003
1.400000000000001e+000	5.085918e-003
1.450000000000001e+000	5.266805e-003
1.500000000000001e+000	5.447917e-003
1.550000000000001e+000	5.629176e-003
1.600000000000001e+000	5.810535e-003
1.650000000000001e+000	5.991963e-003
1.700000000000001e+000	6.173439e-003
1.750000000000001e+000	6.354953e-003
1.800000000000001e+000	6.536494e-003
1.850000000000001e+000	6.718060e-003
1.900000000000001e+000	6.899647e-003
1.950000000000001e+000	7.081254e-003
2.000000000000001e+000	7.262879e-003
2.050000000000001e+000	7.444522e-003
2.100000000000001e+000	7.626183e-003
2.150000000000000e+000	7.807862e-003
2.200000000000000e+000	7.989560e-003
2.250000000000000e+000	8.171276e-003
2.300000000000000e+000	8.353012e-003
2.350000000000000e+000	8.534767e-003
2.400000000000000e+000	8.716541e-003
2.449999999999999e+000	8.898336e-003
2.499999999999999e+000	9.080152e-003
2.549999999999999e+000	9.261988e-003
2.599999999999999e+000	9.443847e-003
2.649999999999999e+000	9.625727e-003
2.699999999999998e+000	9.807630e-003
2.749999999999998e+000	9.989556e-003
2.799999999999998e+000	1.017151e-002
2.849999999999998e+000	1.035348e-002
2.899999999999998e+000	1.053548e-002
2.949999999999998e+000	1.071750e-002
2.999999999999997e+000	1.089954e-002
3.049999999999997e+000	1.108162e-002
3.099999999999997e+000	1.126372e-002
3.149999999999997e+000	1.144584e-002
3.199999999999997e+000	1.162800e-002
3.249999999999996e+000	1.181018e-002
3.299999999999996e+000	1.199238e-002
3.349999999999996e+000	1.217462e-002
3.399999999999996e+000	1.235689e-002
3.449999999999996e+000	1.253918e-002
3.499999999999996e+000	1.272151e-002
3.549999999999995e+000	1.290386e-002
3.599999999999995e+000	1.308624e-002
3.649999999999995e+000	1.326866e-002
3.699999999999995e+000	1.345111e-002
3.749999999999995e+000	1.363359e-002
3.799999999999995e+000	1.381610e-002
3.849999999999994e+000	1.399865e-002
3.899999999999994e+000	1.418123e-002
3.949999999999994e+000	1.436384e-002
3.999999999999994e+000	1.454649e-002
4.049999999999994e+000	1.472917e-002
4.099999999999993e+000	1.491189e-002
4.149999999999993e+000	1.509464e-002
4.199999999999993e+000	1.527743e-002
4.249999999999993e+000	1.546025e-002
4.299999999999993e+000	1.564312e-002
