vin	V(vout)
Step Information: Run=1  (Run: 1/500)
0.000000000000000e+000	9.152398e-004
5.000000000000000e-002	9.152398e-004
1.000000000000000e-001	9.152398e-004
1.500000000000000e-001	9.152398e-004
2.000000000000000e-001	9.152398e-004
2.500000000000000e-001	9.152398e-004
3.000000000000000e-001	9.152398e-004
3.500000000000000e-001	9.152398e-004
4.000000000000000e-001	9.152398e-004
4.500000000000000e-001	9.152398e-004
4.999999999999999e-001	9.152398e-004
5.499999999999999e-001	9.152398e-004
6.000000000000000e-001	9.152399e-004
6.500000000000000e-001	9.152399e-004
7.000000000000001e-001	9.152399e-004
7.500000000000001e-001	9.152401e-004
8.000000000000002e-001	9.152404e-004
8.500000000000002e-001	9.152410e-004
9.000000000000002e-001	9.152422e-004
9.500000000000003e-001	9.152447e-004
1.000000000000000e+000	9.152499e-004
1.050000000000000e+000	9.152605e-004
1.100000000000000e+000	9.152826e-004
1.150000000000000e+000	9.153282e-004
1.200000000000000e+000	9.154225e-004
1.250000000000000e+000	9.156174e-004
1.300000000000001e+000	9.160212e-004
1.350000000000001e+000	9.168611e-004
1.400000000000001e+000	9.186213e-004
1.450000000000001e+000	9.223723e-004
1.500000000000001e+000	9.306599e-004
1.550000000000001e+000	9.505714e-004
1.600000000000001e+000	1.016321e-003
1.650000000000001e+000	1.625903e-003
1.700000000000001e+000	9.663133e-002
1.750000000000001e+000	2.468418e-001
1.800000000000001e+000	3.970523e-001
1.850000000000001e+000	5.472629e-001
1.900000000000001e+000	6.974734e-001
1.950000000000001e+000	8.476840e-001
2.000000000000001e+000	9.978945e-001
2.050000000000001e+000	1.148105e+000
2.100000000000001e+000	1.298316e+000
2.150000000000000e+000	1.448526e+000
2.200000000000000e+000	1.598737e+000
2.250000000000000e+000	1.748947e+000
2.300000000000000e+000	1.899158e+000
2.350000000000000e+000	2.049368e+000
2.400000000000000e+000	2.199579e+000
2.449999999999999e+000	2.349789e+000
2.499999999999999e+000	2.500000e+000
2.549999999999999e+000	2.650211e+000
2.599999999999999e+000	2.800421e+000
2.649999999999999e+000	2.950632e+000
2.699999999999998e+000	3.100842e+000
2.749999999999998e+000	3.251053e+000
2.799999999999998e+000	3.401263e+000
2.849999999999998e+000	3.551474e+000
2.899999999999998e+000	3.701684e+000
2.949999999999998e+000	3.851895e+000
2.999999999999997e+000	4.002106e+000
3.049999999999997e+000	4.152316e+000
3.099999999999997e+000	4.302526e+000
3.149999999999997e+000	4.452737e+000
3.199999999999997e+000	4.602948e+000
3.249999999999996e+000	4.753158e+000
3.299999999999996e+000	4.903368e+000
3.349999999999996e+000	4.998374e+000
3.399999999999996e+000	4.998987e+000
3.449999999999996e+000	4.999057e+000
3.499999999999996e+000	4.999071e+000
3.549999999999995e+000	4.999078e+000
3.599999999999995e+000	4.999082e+000
3.649999999999995e+000	4.999083e+000
3.699999999999995e+000	4.999084e+000
