vin	V(vout)
Step Information: Run=1  (Run: 1/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.643329e-002
1.000000000000000e-001	3.286658e-002
1.500000000000000e-001	4.929987e-002
2.000000000000000e-001	6.573316e-002
2.500000000000000e-001	8.216646e-002
3.000000000000000e-001	9.859974e-002
3.500000000000000e-001	1.150330e-001
4.000000000000000e-001	1.314663e-001
4.500000000000000e-001	1.478996e-001
4.999999999999999e-001	1.643329e-001
5.499999999999999e-001	1.807662e-001
6.000000000000000e-001	1.971995e-001
6.500000000000000e-001	2.136328e-001
7.000000000000001e-001	2.300661e-001
7.500000000000001e-001	2.464994e-001
8.000000000000002e-001	2.629327e-001
8.500000000000002e-001	2.793659e-001
9.000000000000002e-001	2.957992e-001
9.500000000000003e-001	3.122325e-001
1.000000000000000e+000	3.286658e-001
1.050000000000000e+000	3.450991e-001
1.100000000000000e+000	3.615324e-001
1.150000000000000e+000	3.779657e-001
1.200000000000000e+000	3.943990e-001
1.250000000000000e+000	4.108323e-001
1.300000000000001e+000	4.272656e-001
1.350000000000001e+000	4.436989e-001
1.400000000000001e+000	4.601321e-001
1.450000000000001e+000	4.765654e-001
1.500000000000001e+000	4.929987e-001
1.550000000000001e+000	5.094320e-001
1.600000000000001e+000	5.258653e-001
1.650000000000001e+000	5.422986e-001
1.700000000000001e+000	5.587319e-001
1.750000000000001e+000	5.751652e-001
1.800000000000001e+000	5.915985e-001
1.850000000000001e+000	6.080317e-001
1.900000000000001e+000	6.244650e-001
1.950000000000001e+000	6.408983e-001
2.000000000000001e+000	6.573316e-001
2.050000000000001e+000	6.737649e-001
2.100000000000001e+000	6.901982e-001
2.150000000000000e+000	7.066315e-001
2.200000000000000e+000	7.230648e-001
2.250000000000000e+000	7.394981e-001
2.300000000000000e+000	7.559314e-001
2.350000000000000e+000	7.723647e-001
2.400000000000000e+000	7.887979e-001
2.449999999999999e+000	8.052312e-001
2.499999999999999e+000	8.216645e-001
2.549999999999999e+000	8.380978e-001
2.599999999999999e+000	8.545311e-001
2.649999999999999e+000	8.709644e-001
2.699999999999998e+000	8.873977e-001
2.749999999999998e+000	9.038309e-001
2.799999999999998e+000	9.202642e-001
2.849999999999998e+000	9.366975e-001
2.899999999999998e+000	9.531308e-001
2.949999999999998e+000	9.695641e-001
2.999999999999997e+000	9.859974e-001
3.049999999999997e+000	1.002431e+000
3.099999999999997e+000	1.018864e+000
3.149999999999997e+000	1.035297e+000
3.199999999999997e+000	1.051731e+000
3.249999999999996e+000	1.068164e+000
3.299999999999996e+000	1.084597e+000
3.349999999999996e+000	1.101030e+000
3.399999999999996e+000	1.117464e+000
3.449999999999996e+000	1.133897e+000
3.499999999999996e+000	1.150330e+000
3.549999999999995e+000	1.166764e+000
3.599999999999995e+000	1.183197e+000
3.649999999999995e+000	1.199630e+000
3.699999999999995e+000	1.216063e+000
3.749999999999995e+000	1.232497e+000
3.799999999999995e+000	1.248930e+000
3.849999999999994e+000	1.265363e+000
3.899999999999994e+000	1.281797e+000
3.949999999999994e+000	1.298230e+000
3.999999999999994e+000	1.314663e+000
4.049999999999994e+000	1.331097e+000
4.099999999999993e+000	1.347530e+000
4.149999999999993e+000	1.363963e+000
4.199999999999993e+000	1.380396e+000
4.249999999999993e+000	1.396830e+000
4.299999999999993e+000	1.413263e+000
4.349999999999993e+000	1.429696e+000
4.399999999999992e+000	1.446130e+000
4.449999999999992e+000	1.462563e+000
4.499999999999992e+000	1.478996e+000
4.549999999999992e+000	1.495429e+000
4.599999999999992e+000	1.511863e+000
4.649999999999992e+000	1.528296e+000
4.699999999999991e+000	1.544729e+000
4.749999999999991e+000	1.561163e+000
4.799999999999991e+000	1.577596e+000
4.849999999999991e+000	1.594029e+000
4.899999999999991e+000	1.610462e+000
4.949999999999990e+000	1.626896e+000
5.000000000000000e+000	1.643329e+000
Step Information: Run=2  (Run: 2/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.736684e-002
1.000000000000000e-001	3.473368e-002
1.500000000000000e-001	5.210051e-002
2.000000000000000e-001	6.946735e-002
2.500000000000000e-001	8.683419e-002
3.000000000000000e-001	1.042010e-001
3.500000000000000e-001	1.215679e-001
4.000000000000000e-001	1.389347e-001
4.500000000000000e-001	1.563015e-001
4.999999999999999e-001	1.736684e-001
5.499999999999999e-001	1.910352e-001
6.000000000000000e-001	2.084021e-001
6.500000000000000e-001	2.257689e-001
7.000000000000001e-001	2.431357e-001
7.500000000000001e-001	2.605026e-001
8.000000000000002e-001	2.778694e-001
8.500000000000002e-001	2.952363e-001
9.000000000000002e-001	3.126031e-001
9.500000000000003e-001	3.299699e-001
1.000000000000000e+000	3.473368e-001
1.050000000000000e+000	3.647036e-001
1.100000000000000e+000	3.820704e-001
1.150000000000000e+000	3.994373e-001
1.200000000000000e+000	4.168041e-001
1.250000000000000e+000	4.341710e-001
1.300000000000001e+000	4.515378e-001
1.350000000000001e+000	4.689046e-001
1.400000000000001e+000	4.862715e-001
1.450000000000001e+000	5.036383e-001
1.500000000000001e+000	5.210052e-001
1.550000000000001e+000	5.383720e-001
1.600000000000001e+000	5.557388e-001
1.650000000000001e+000	5.731056e-001
1.700000000000001e+000	5.904725e-001
1.750000000000001e+000	6.078393e-001
1.800000000000001e+000	6.252062e-001
1.850000000000001e+000	6.425730e-001
1.900000000000001e+000	6.599398e-001
1.950000000000001e+000	6.773067e-001
2.000000000000001e+000	6.946735e-001
2.050000000000001e+000	7.120404e-001
2.100000000000001e+000	7.294072e-001
2.150000000000000e+000	7.467740e-001
2.200000000000000e+000	7.641408e-001
2.250000000000000e+000	7.815077e-001
2.300000000000000e+000	7.988746e-001
2.350000000000000e+000	8.162414e-001
2.400000000000000e+000	8.336082e-001
2.449999999999999e+000	8.509750e-001
2.499999999999999e+000	8.683419e-001
2.549999999999999e+000	8.857087e-001
2.599999999999999e+000	9.030756e-001
2.649999999999999e+000	9.204424e-001
2.699999999999998e+000	9.378092e-001
2.749999999999998e+000	9.551761e-001
2.799999999999998e+000	9.725429e-001
2.849999999999998e+000	9.899098e-001
2.899999999999998e+000	1.007277e+000
2.949999999999998e+000	1.024643e+000
2.999999999999997e+000	1.042010e+000
3.049999999999997e+000	1.059377e+000
3.099999999999997e+000	1.076744e+000
3.149999999999997e+000	1.094111e+000
3.199999999999997e+000	1.111478e+000
3.249999999999996e+000	1.128844e+000
3.299999999999996e+000	1.146211e+000
3.349999999999996e+000	1.163578e+000
3.399999999999996e+000	1.180945e+000
3.449999999999996e+000	1.198312e+000
3.499999999999996e+000	1.215679e+000
3.549999999999995e+000	1.233045e+000
3.599999999999995e+000	1.250412e+000
3.649999999999995e+000	1.267779e+000
3.699999999999995e+000	1.285146e+000
3.749999999999995e+000	1.302513e+000
3.799999999999995e+000	1.319880e+000
3.849999999999994e+000	1.337247e+000
3.899999999999994e+000	1.354613e+000
3.949999999999994e+000	1.371980e+000
3.999999999999994e+000	1.389347e+000
4.049999999999994e+000	1.406714e+000
4.099999999999993e+000	1.424081e+000
4.149999999999993e+000	1.441447e+000
4.199999999999993e+000	1.458814e+000
4.249999999999993e+000	1.476181e+000
4.299999999999993e+000	1.493548e+000
4.349999999999993e+000	1.510915e+000
4.399999999999992e+000	1.528282e+000
4.449999999999992e+000	1.545649e+000
4.499999999999992e+000	1.563015e+000
4.549999999999992e+000	1.580382e+000
4.599999999999992e+000	1.597749e+000
4.649999999999992e+000	1.615116e+000
4.699999999999991e+000	1.632483e+000
4.749999999999991e+000	1.649850e+000
4.799999999999991e+000	1.667216e+000
4.849999999999991e+000	1.684583e+000
4.899999999999991e+000	1.701950e+000
4.949999999999990e+000	1.719317e+000
5.000000000000000e+000	1.736684e+000
Step Information: Run=3  (Run: 3/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.643482e-002
1.000000000000000e-001	3.286964e-002
1.500000000000000e-001	4.930447e-002
2.000000000000000e-001	6.573929e-002
2.500000000000000e-001	8.217411e-002
3.000000000000000e-001	9.860894e-002
3.500000000000000e-001	1.150438e-001
4.000000000000000e-001	1.314786e-001
4.500000000000000e-001	1.479134e-001
4.999999999999999e-001	1.643482e-001
5.499999999999999e-001	1.807830e-001
6.000000000000000e-001	1.972179e-001
6.500000000000000e-001	2.136527e-001
7.000000000000001e-001	2.300875e-001
7.500000000000001e-001	2.465224e-001
8.000000000000002e-001	2.629572e-001
8.500000000000002e-001	2.793920e-001
9.000000000000002e-001	2.958268e-001
9.500000000000003e-001	3.122616e-001
1.000000000000000e+000	3.286965e-001
1.050000000000000e+000	3.451313e-001
1.100000000000000e+000	3.615661e-001
1.150000000000000e+000	3.780009e-001
1.200000000000000e+000	3.944358e-001
1.250000000000000e+000	4.108706e-001
1.300000000000001e+000	4.273054e-001
1.350000000000001e+000	4.437402e-001
1.400000000000001e+000	4.601750e-001
1.450000000000001e+000	4.766099e-001
1.500000000000001e+000	4.930447e-001
1.550000000000001e+000	5.094795e-001
1.600000000000001e+000	5.259143e-001
1.650000000000001e+000	5.423492e-001
1.700000000000001e+000	5.587840e-001
1.750000000000001e+000	5.752188e-001
1.800000000000001e+000	5.916536e-001
1.850000000000001e+000	6.080884e-001
1.900000000000001e+000	6.245233e-001
1.950000000000001e+000	6.409581e-001
2.000000000000001e+000	6.573929e-001
2.050000000000001e+000	6.738278e-001
2.100000000000001e+000	6.902626e-001
2.150000000000000e+000	7.066974e-001
