vr	I(Ir)
Step Information: Run=1  (Run: 1/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	4.994718e-006
1.000000000000000e-001	9.989437e-006
1.500000000000000e-001	1.498416e-005
2.000000000000000e-001	1.997887e-005
2.500000000000000e-001	2.497359e-005
3.000000000000000e-001	2.996831e-005
3.500000000000000e-001	3.496303e-005
4.000000000000000e-001	3.995775e-005
4.500000000000000e-001	4.495247e-005
4.999999999999999e-001	4.994719e-005
5.499999999999999e-001	5.494190e-005
6.000000000000000e-001	5.993662e-005
6.500000000000000e-001	6.493134e-005
7.000000000000001e-001	6.992606e-005
7.500000000000001e-001	7.492078e-005
8.000000000000002e-001	7.991550e-005
8.500000000000002e-001	8.491021e-005
9.000000000000002e-001	8.990493e-005
9.500000000000003e-001	9.489965e-005
1.000000000000000e+000	9.989437e-005
1.050000000000000e+000	1.048891e-004
1.100000000000000e+000	1.098838e-004
1.150000000000000e+000	1.148785e-004
1.200000000000000e+000	1.198732e-004
1.250000000000000e+000	1.248680e-004
1.300000000000001e+000	1.298627e-004
1.350000000000001e+000	1.348574e-004
1.400000000000001e+000	1.398521e-004
1.450000000000001e+000	1.448468e-004
1.500000000000001e+000	1.498416e-004
1.550000000000001e+000	1.548363e-004
1.600000000000001e+000	1.598310e-004
1.650000000000001e+000	1.648257e-004
1.700000000000001e+000	1.698204e-004
1.750000000000001e+000	1.748151e-004
1.800000000000001e+000	1.798099e-004
1.850000000000001e+000	1.848046e-004
1.900000000000001e+000	1.897993e-004
1.950000000000001e+000	1.947940e-004
2.000000000000001e+000	1.997887e-004
2.050000000000001e+000	2.047835e-004
2.100000000000001e+000	2.097782e-004
2.150000000000000e+000	2.147729e-004
2.200000000000000e+000	2.197676e-004
2.250000000000000e+000	2.247623e-004
2.300000000000000e+000	2.297570e-004
2.350000000000000e+000	2.347518e-004
2.400000000000000e+000	2.397465e-004
2.449999999999999e+000	2.447412e-004
2.499999999999999e+000	2.497359e-004
2.549999999999999e+000	2.547306e-004
2.599999999999999e+000	2.597253e-004
2.649999999999999e+000	2.647201e-004
2.699999999999998e+000	2.697148e-004
2.749999999999998e+000	2.747095e-004
2.799999999999998e+000	2.797042e-004
2.849999999999998e+000	2.846990e-004
2.899999999999998e+000	2.896937e-004
2.949999999999998e+000	2.946884e-004
2.999999999999997e+000	2.996831e-004
3.049999999999997e+000	3.046778e-004
3.099999999999997e+000	3.096726e-004
3.149999999999997e+000	3.146673e-004
3.199999999999997e+000	3.196620e-004
3.249999999999996e+000	3.246567e-004
3.299999999999996e+000	3.296514e-004
3.349999999999996e+000	3.346461e-004
3.399999999999996e+000	3.396409e-004
3.449999999999996e+000	3.446356e-004
3.499999999999996e+000	3.496303e-004
3.549999999999995e+000	3.546250e-004
3.599999999999995e+000	3.596197e-004
3.649999999999995e+000	3.646144e-004
3.699999999999995e+000	3.696092e-004
3.749999999999995e+000	3.746039e-004
3.799999999999995e+000	3.795986e-004
3.849999999999994e+000	3.845933e-004
3.899999999999994e+000	3.895880e-004
3.949999999999994e+000	3.945827e-004
3.999999999999994e+000	3.995775e-004
4.049999999999994e+000	4.045722e-004
4.099999999999993e+000	4.095669e-004
4.149999999999993e+000	4.145616e-004
4.199999999999993e+000	4.195563e-004
4.249999999999993e+000	4.245511e-004
4.299999999999993e+000	4.295458e-004
4.349999999999993e+000	4.345405e-004
4.399999999999992e+000	4.395352e-004
4.449999999999992e+000	4.445300e-004
4.499999999999992e+000	4.495247e-004
4.549999999999992e+000	4.545194e-004
4.599999999999992e+000	4.595141e-004
4.649999999999992e+000	4.645088e-004
4.699999999999991e+000	4.695035e-004
4.749999999999991e+000	4.744983e-004
4.799999999999991e+000	4.794930e-004
4.849999999999991e+000	4.844877e-004
4.899999999999991e+000	4.894824e-004
4.949999999999990e+000	4.944771e-004
5.000000000000000e+000	4.994718e-004
Step Information: Run=2  (Run: 2/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	5.005258e-006
1.000000000000000e-001	1.001052e-005
1.500000000000000e-001	1.501577e-005
2.000000000000000e-001	2.002103e-005
2.500000000000000e-001	2.502629e-005
3.000000000000000e-001	3.003155e-005
3.500000000000000e-001	3.503680e-005
4.000000000000000e-001	4.004206e-005
4.500000000000000e-001	4.504732e-005
4.999999999999999e-001	5.005257e-005
5.499999999999999e-001	5.505783e-005
6.000000000000000e-001	6.006309e-005
6.500000000000000e-001	6.506835e-005
7.000000000000001e-001	7.007361e-005
7.500000000000001e-001	7.507887e-005
8.000000000000002e-001	8.008412e-005
8.500000000000002e-001	8.508938e-005
9.000000000000002e-001	9.009464e-005
9.500000000000003e-001	9.509989e-005
1.000000000000000e+000	1.001051e-004
1.050000000000000e+000	1.051104e-004
1.100000000000000e+000	1.101157e-004
1.150000000000000e+000	1.151209e-004
1.200000000000000e+000	1.201262e-004
1.250000000000000e+000	1.251314e-004
1.300000000000001e+000	1.301367e-004
1.350000000000001e+000	1.351419e-004
1.400000000000001e+000	1.401472e-004
1.450000000000001e+000	1.451525e-004
1.500000000000001e+000	1.501577e-004
1.550000000000001e+000	1.551630e-004
1.600000000000001e+000	1.601682e-004
1.650000000000001e+000	1.651735e-004
1.700000000000001e+000	1.701788e-004
1.750000000000001e+000	1.751840e-004
1.800000000000001e+000	1.801893e-004
1.850000000000001e+000	1.851945e-004
1.900000000000001e+000	1.901998e-004
1.950000000000001e+000	1.952051e-004
2.000000000000001e+000	2.002103e-004
2.050000000000001e+000	2.052156e-004
2.100000000000001e+000	2.102208e-004
2.150000000000000e+000	2.152261e-004
2.200000000000000e+000	2.202313e-004
2.250000000000000e+000	2.252366e-004
2.300000000000000e+000	2.302418e-004
2.350000000000000e+000	2.352471e-004
2.400000000000000e+000	2.402524e-004
2.449999999999999e+000	2.452576e-004
2.499999999999999e+000	2.502629e-004
2.549999999999999e+000	2.552681e-004
2.599999999999999e+000	2.602734e-004
2.649999999999999e+000	2.652786e-004
2.699999999999998e+000	2.702839e-004
2.749999999999998e+000	2.752892e-004
2.799999999999998e+000	2.802944e-004
2.849999999999998e+000	2.852997e-004
2.899999999999998e+000	2.903049e-004
2.949999999999998e+000	2.953102e-004
2.999999999999997e+000	3.003155e-004
3.049999999999997e+000	3.053207e-004
3.099999999999997e+000	3.103260e-004
3.149999999999997e+000	3.153312e-004
3.199999999999997e+000	3.203365e-004
3.249999999999996e+000	3.253417e-004
3.299999999999996e+000	3.303470e-004
3.349999999999996e+000	3.353523e-004
3.399999999999996e+000	3.403575e-004
3.449999999999996e+000	3.453628e-004
3.499999999999996e+000	3.503680e-004
3.549999999999995e+000	3.553733e-004
3.599999999999995e+000	3.603786e-004
3.649999999999995e+000	3.653838e-004
3.699999999999995e+000	3.703891e-004
3.749999999999995e+000	3.753943e-004
3.799999999999995e+000	3.803996e-004
3.849999999999994e+000	3.854048e-004
3.899999999999994e+000	3.904101e-004
3.949999999999994e+000	3.954154e-004
3.999999999999994e+000	4.004206e-004
4.049999999999994e+000	4.054259e-004
4.099999999999993e+000	4.104311e-004
4.149999999999993e+000	4.154364e-004
4.199999999999993e+000	4.204416e-004
4.249999999999993e+000	4.254469e-004
4.299999999999993e+000	4.304521e-004
4.349999999999993e+000	4.354574e-004
4.399999999999992e+000	4.404627e-004
4.449999999999992e+000	4.454679e-004
4.499999999999992e+000	4.504732e-004
4.549999999999992e+000	4.554784e-004
4.599999999999992e+000	4.604837e-004
4.649999999999992e+000	4.654890e-004
4.699999999999991e+000	4.704942e-004
4.749999999999991e+000	4.754995e-004
4.799999999999991e+000	4.805047e-004
4.849999999999991e+000	4.855100e-004
4.899999999999991e+000	4.905153e-004
4.949999999999990e+000	4.955205e-004
5.000000000000000e+000	5.005258e-004
Step Information: Run=3  (Run: 3/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	5.006093e-006
1.000000000000000e-001	1.001219e-005
1.500000000000000e-001	1.501828e-005
2.000000000000000e-001	2.002437e-005
2.500000000000000e-001	2.503047e-005
3.000000000000000e-001	3.003656e-005
3.500000000000000e-001	3.504266e-005
4.000000000000000e-001	4.004875e-005
4.500000000000000e-001	4.505484e-005
4.999999999999999e-001	5.006093e-005
5.499999999999999e-001	5.506703e-005
6.000000000000000e-001	6.007312e-005
6.500000000000000e-001	6.507921e-005
7.000000000000001e-001	7.008531e-005
7.500000000000001e-001	7.509140e-005
8.000000000000002e-001	8.009750e-005
8.500000000000002e-001	8.510359e-005
9.000000000000002e-001	9.010969e-005
9.500000000000003e-001	9.511578e-005
1.000000000000000e+000	1.001219e-004
1.050000000000000e+000	1.051280e-004
1.100000000000000e+000	1.101341e-004
1.150000000000000e+000	1.151402e-004
1.200000000000000e+000	1.201462e-004
1.250000000000000e+000	1.251523e-004
1.300000000000001e+000	1.301584e-004
1.350000000000001e+000	1.351645e-004
1.400000000000001e+000	1.401706e-004
1.450000000000001e+000	1.451767e-004
1.500000000000001e+000	1.501828e-004
1.550000000000001e+000	1.551889e-004
1.600000000000001e+000	1.601950e-004
1.650000000000001e+000	1.652011e-004
1.700000000000001e+000	1.702072e-004
1.750000000000001e+000	1.752133e-004
1.800000000000001e+000	1.802194e-004
1.850000000000001e+000	1.852255e-004
1.900000000000001e+000	1.902316e-004
1.950000000000001e+000	1.952376e-004
2.000000000000001e+000	2.002437e-004
2.050000000000001e+000	2.052498e-004
2.100000000000001e+000	2.102559e-004
2.150000000000000e+000	2.152620e-004
