vin	I(Iout)
0.000000000000000e+000	0.000000e+000
2.500000000000000e-002	4.134312e-014
5.000000000000000e-002	1.093073e-013
7.500000000000001e-002	2.472550e-013
1.000000000000000e-001	5.691812e-013
1.250000000000000e-001	1.374765e-012
1.500000000000000e-001	3.451830e-012
1.750000000000000e-001	8.871466e-012
2.000000000000000e-001	2.307833e-011
2.250000000000000e-001	6.038579e-011
2.500000000000000e-001	1.584220e-010
2.750000000000000e-001	4.161069e-010
3.000000000000000e-001	1.093490e-009
3.250000000000000e-001	2.874209e-009
3.500000000000000e-001	7.555468e-009
3.750000000000001e-001	1.986191e-008
4.000000000000001e-001	5.221404e-008
4.250000000000001e-001	1.372639e-007
4.500000000000001e-001	3.608492e-007
4.750000000000001e-001	9.486246e-007
5.000000000000001e-001	2.493788e-006
5.250000000000001e-001	6.555636e-006
5.500000000000002e-001	1.723236e-005
5.750000000000002e-001	4.529050e-005
6.000000000000002e-001	1.189852e-004
6.250000000000002e-001	3.122592e-004
6.500000000000002e-001	8.172028e-004
6.750000000000003e-001	2.123421e-003
7.000000000000003e-001	5.420040e-003
7.250000000000003e-001	1.327776e-002
7.500000000000003e-001	2.999609e-002
7.750000000000004e-001	5.984766e-002
8.000000000000004e-001	1.036295e-001
8.250000000000004e-001	1.581713e-001
8.500000000000004e-001	2.191070e-001
8.750000000000004e-001	2.829370e-001
9.000000000000005e-001	3.474220e-001
9.250000000000005e-001	4.112859e-001
9.500000000000005e-001	4.738593e-001
9.750000000000005e-001	5.348260e-001
1.000000000000000e+000	5.940675e-001
