vin	Ic(Q1)
Step Information: R1==100  (Run: 1/3)
5.000000000000000e-002	5.904999e-014
5.829572005899159e-002	8.514023e-014
6.796781954392628e-002	1.283695e-013
7.924465962305567e-002	2.040035e-013
9.239248987111454e-002	3.458345e-013
1.077217345015942e-001	6.337986e-013
1.255943215754790e-001	1.274814e-012
1.464322282312618e-001	2.865486e-012
1.707274436916800e-001	7.346068e-012
1.990535852767486e-001	2.198269e-011
2.320794416806389e-001	7.884138e-011
2.705847632732317e-001	3.494088e-010
3.154786722400965e-001	1.982206e-009
3.678211272298205e-001	1.499695e-008
4.288479492954468e-001	1.586546e-007
4.999999999999997e-001	2.461879e-006
5.829572005899155e-001	5.047874e-005
6.796781954392623e-001	4.497363e-004
7.924465962305561e-001	1.298387e-003
9.239248987111447e-001	2.443152e-003
1.077217345015941e+000	3.850366e-003
1.255943215754789e+000	5.534155e-003
1.464322282312617e+000	7.526905e-003
1.707274436916799e+000	9.872630e-003
1.990535852767485e+000	1.262550e-002
2.320794416806387e+000	1.585019e-002
2.705847632732316e+000	1.962294e-002
3.154786722400963e+000	2.403320e-002
3.678211272298203e+000	2.918556e-002
4.288479492954466e+000	3.520218e-002
5.000000000000000e+000	4.222560e-002
Step Information: R1==1K  (Run: 2/3)
5.000000000000000e-002	5.904999e-014
5.829572005899159e-002	8.514023e-014
6.796781954392628e-002	1.283695e-013
7.924465962305567e-002	2.040035e-013
9.239248987111454e-002	3.459733e-013
1.077217345015942e-001	6.337986e-013
1.255943215754790e-001	1.274814e-012
1.464322282312618e-001	2.865486e-012
1.707274436916800e-001	7.346068e-012
1.990535852767486e-001	2.198269e-011
2.320794416806389e-001	7.884138e-011
2.705847632732317e-001	3.494049e-010
3.154786722400965e-001	1.982068e-009
3.678211272298205e-001	1.498910e-008
4.288479492954468e-001	1.577836e-007
4.999999999999997e-001	2.275515e-006
5.829572005899155e-001	2.410649e-005
6.796781954392623e-001	8.731332e-005
7.924465962305561e-001	1.809055e-004
9.239248987111447e-001	2.989692e-004
1.077217345015941e+000	4.416593e-004
1.255943215754789e+000	6.113686e-004
1.464322282312617e+000	8.117002e-004
1.707274436916799e+000	1.047220e-003
1.990535852767485e+000	1.323436e-003
2.320794416806387e+000	1.646878e-003
2.705847632732316e+000	2.025222e-003
3.154786722400963e+000	2.467459e-003
3.678211272298203e+000	2.984101e-003
4.288479492954466e+000	3.587422e-003
5.000000000000000e+000	4.291749e-003
Step Information: R1==10K  (Run: 3/3)
5.000000000000000e-002	5.904999e-014
5.829572005899159e-002	8.520962e-014
6.796781954392628e-002	1.283695e-013
7.924465962305567e-002	2.040035e-013
9.239248987111454e-002	3.458345e-013
1.077217345015942e-001	6.337986e-013
1.255943215754790e-001	1.274536e-012
1.464322282312618e-001	2.865486e-012
1.707274436916800e-001	7.346068e-012
1.990535852767486e-001	2.198242e-011
2.320794416806389e-001	7.883916e-011
2.705847632732317e-001	3.493622e-010
3.154786722400965e-001	1.980698e-009
3.678211272298205e-001	1.491132e-008
4.288479492954468e-001	1.497907e-007
4.999999999999997e-001	1.428248e-006
5.829572005899155e-001	5.997350e-006
6.796781954392623e-001	1.353822e-005
7.924465962305561e-001	2.336999e-005
9.239248987111447e-001	3.540306e-005
1.077217345015941e+000	4.980140e-005
1.255943215754789e+000	6.685506e-005
1.464322282312617e+000	8.694588e-005
1.707274436916799e+000	1.105409e-004
1.990535852767485e+000	1.381966e-004
2.320794416806387e+000	1.705693e-004
2.705847632732316e+000	2.084290e-004
3.154786722400963e+000	2.526763e-004
3.678211272298203e+000	3.043636e-004
4.288479492954466e+000	3.647196e-004
5.000000000000000e+000	4.351778e-004
