vin	Iin100
5.000000000000000e-002	5.904999e-014
5.195611519175846e-002	6.446232e-014
5.398875811638548e-002	7.056855e-014
5.610092271509817e-002	7.736867e-014
5.829572005899158e-002	8.514023e-014
6.057638293142941e-002	9.402201e-014
6.294627058970835e-002	1.039446e-013
6.540887371300969e-002	1.153244e-013
6.796781954392626e-002	1.283695e-013
7.062687723113770e-002	1.433575e-013
7.338996338110346e-002	1.607048e-013
7.626114782695093e-002	1.806888e-013
7.924465962305564e-002	2.040035e-013
8.234489327414339e-002	2.313427e-013
8.556641520808900e-002	2.632616e-013
8.891397050194609e-002	3.011480e-013
9.239248987111449e-002	3.458345e-013
9.600709693194003e-002	3.992640e-013
9.976311574844392e-002	4.632406e-013
1.036660786742977e-001	5.402623e-013
1.077217345015941e-001	6.337986e-013
1.119360569284169e-001	7.475964e-013
1.163152533576812e-001	8.873458e-013
1.208657740402051e-001	1.059985e-012
1.255943215754789e-001	1.274814e-012
1.305078607841267e-001	1.543488e-012
1.356136289666013e-001	1.882661e-012
1.409191465632225e-001	2.313705e-012
1.464322282312617e-001	2.865486e-012
1.521609943553859e-001	3.578249e-012
1.581138830084188e-001	4.506950e-012
1.642996623800325e-001	5.727363e-012
1.707274436916798e-001	7.346068e-012
1.774066946167875e-001	9.513779e-012
1.843472532259785e-001	1.244477e-011
1.915593424778641e-001	1.645045e-011
1.990535852767483e-001	2.198269e-011
2.068410201194250e-001	2.970901e-011
2.149331173541135e-001	4.062584e-011
2.233417960754812e-001	5.623696e-011
2.320794416806385e-001	7.884138e-011
2.411589241119649e-001	1.120015e-010
2.505936168136357e-001	1.613065e-010
2.603974164297727e-001	2.356543e-010
2.705847632732313e-001	3.494088e-010
2.811706625951739e-001	5.261197e-010
2.921707066867582e-001	8.049839e-010
3.036010978454936e-001	1.252317e-009
3.154786722400959e-001	1.982206e-009
3.278209247089887e-001	3.194364e-009
3.406460345289798e-001	5.244764e-009
3.539728921920681e-001	8.779899e-009
3.678211272298197e-001	1.499695e-008
3.822111371262992e-001	2.615800e-008
3.971641173621398e-001	4.662763e-008
4.127020926340081e-001	8.501085e-008
4.288479492954460e-001	1.586546e-007
4.456254690668716e-001	3.033312e-007
4.630593640643955e-001	5.945047e-007
4.811753131990430e-001	1.194878e-006
4.999999999999986e-001	2.461879e-006
5.195611519175831e-001	5.189310e-006
5.398875811638533e-001	1.112708e-005
5.610092271509801e-001	2.395371e-005
5.829572005899142e-001	5.047874e-005
6.057638293142924e-001	1.004036e-004
6.294627058970816e-001	1.824471e-004
6.540887371300950e-001	2.996844e-004
6.796781954392606e-001	4.497363e-004
7.062687723113748e-001	6.281941e-004
7.338996338110322e-001	8.309918e-004
7.626114782695067e-001	1.055086e-003
7.924465962305538e-001	1.298387e-003
8.234489327414312e-001	1.559528e-003
8.556641520808872e-001	1.837654e-003
8.891397050194581e-001	2.132273e-003
9.239248987111419e-001	2.443153e-003
9.600709693193971e-001	2.770251e-003
9.976311574844359e-001	3.113667e-003
1.036660786742973e+000	3.473613e-003
1.077217345015938e+000	3.850390e-003
1.119360569284165e+000	4.244369e-003
1.163152533576808e+000	4.655988e-003
1.208657740402047e+000	5.085738e-003
1.255943215754785e+000	5.534160e-003
1.305078607841263e+000	6.001838e-003
1.356136289666008e+000	6.489403e-003
1.409191465632221e+000	6.997522e-003
1.464322282312612e+000	7.526906e-003
1.521609943553854e+000	8.078301e-003
1.581138830084183e+000	8.652497e-003
1.642996623800320e+000	9.250319e-003
1.707274436916793e+000	9.872630e-003
1.774066946167869e+000	1.052034e-002
1.843472532259779e+000	1.119439e-002
1.915593424778635e+000	1.189577e-002
1.990535852767477e+000	1.262550e-002
2.068410201194244e+000	1.338467e-002
2.149331173541128e+000	1.417439e-002
2.233417960754805e+000	1.499583e-002
2.320794416806378e+000	1.585019e-002
2.411589241119641e+000	1.673874e-002
2.505936168136349e+000	1.766280e-002
2.603974164297719e+000	1.862372e-002
2.705847632732305e+000	1.962294e-002
2.811706625951731e+000	2.066193e-002
2.921707066867573e+000	2.174223e-002
3.036010978454927e+000	2.286543e-002
3.154786722400950e+000	2.403320e-002
3.278209247089877e+000	2.524726e-002
3.406460345289788e+000	2.650942e-002
3.539728921920670e+000	2.782154e-002
3.678211272298186e+000	2.918556e-002
3.822111371262980e+000	3.060349e-002
3.971641173621385e+000	3.207744e-002
4.127020926340069e+000	3.360958e-002
4.288479492954446e+000	3.520218e-002
4.456254690668702e+000	3.685759e-002
4.630593640643941e+000	3.857825e-002
4.811753131990415e+000	4.036671e-002
5.000000000000000e+000	4.222560e-002
