vin	Iin1k
5.000000000000000e-002	5.904999e-014
5.195611519175846e-002	6.446232e-014
5.398875811638548e-002	7.063794e-014
5.610092271509817e-002	7.743806e-014
5.829572005899158e-002	8.514023e-014
6.057638293142941e-002	9.402201e-014
6.294627058970835e-002	1.040834e-013
6.540887371300969e-002	1.154632e-013
6.796781954392626e-002	1.283695e-013
7.062687723113770e-002	1.434963e-013
7.338996338110346e-002	1.608436e-013
7.626114782695093e-002	1.806888e-013
7.924465962305564e-002	2.040035e-013
8.234489327414339e-002	2.313427e-013
8.556641520808900e-002	2.632616e-013
8.891397050194609e-002	3.012868e-013
9.239248987111449e-002	3.459733e-013
9.600709693194003e-002	3.992640e-013
9.976311574844392e-002	4.633793e-013
1.036660786742977e-001	5.404011e-013
1.077217345015941e-001	6.337986e-013
1.119360569284169e-001	7.477352e-013
1.163152533576812e-001	8.874845e-013
1.208657740402051e-001	1.060124e-012
1.255943215754789e-001	1.274814e-012
1.305078607841267e-001	1.543765e-012
1.356136289666013e-001	1.882661e-012
1.409191465632225e-001	2.313705e-012
1.464322282312617e-001	2.865486e-012
1.521609943553859e-001	3.578526e-012
1.581138830084188e-001	4.507228e-012
1.642996623800325e-001	5.727641e-012
1.707274436916798e-001	7.346068e-012
1.774066946167875e-001	9.513779e-012
1.843472532259785e-001	1.244504e-011
1.915593424778641e-001	1.645073e-011
1.990535852767483e-001	2.198269e-011
2.068410201194250e-001	2.970874e-011
2.149331173541135e-001	4.062584e-011
2.233417960754812e-001	5.623696e-011
2.320794416806385e-001	7.884138e-011
2.411589241119649e-001	1.120012e-010
2.505936168136357e-001	1.613060e-010
2.603974164297727e-001	2.356521e-010
2.705847632732313e-001	3.494049e-010
2.811706625951739e-001	5.261103e-010
2.921707066867582e-001	8.049611e-010
3.036010978454936e-001	1.252262e-009
3.154786722400959e-001	1.982069e-009
3.278209247089887e-001	3.194008e-009
3.406460345289798e-001	5.243805e-009
3.539728921920681e-001	8.777209e-009
3.678211272298197e-001	1.498910e-008
3.822111371262992e-001	2.613415e-008
3.971641173621398e-001	4.655192e-008
4.127020926340081e-001	8.475974e-008
4.288479492954460e-001	1.577836e-007
4.456254690668716e-001	3.001727e-007
4.630593640643955e-001	5.825626e-007
4.811753131990430e-001	1.148139e-006
4.999999999999986e-001	2.275515e-006
5.195611519175831e-001	4.454602e-006
5.398875811638533e-001	8.390447e-006
5.610092271509801e-001	1.480364e-005
5.829572005899142e-001	2.410649e-005
6.057638293142924e-001	3.628961e-005
6.294627058970816e-001	5.108893e-005
6.540887371300950e-001	6.818711e-005
6.796781954392606e-001	8.731332e-005
7.062687723113748e-001	1.082659e-004
7.338996338110322e-001	1.309048e-004
7.626114782695067e-001	1.551373e-004
7.924465962305538e-001	1.809059e-004
8.234489327414312e-001	2.081790e-004
8.556641520808872e-001	2.369439e-004
8.891397050194581e-001	2.672029e-004
9.239248987111419e-001	2.989692e-004
9.600709693193971e-001	3.322653e-004
9.976311574844359e-001	3.671208e-004
1.036660786742973e+000	4.035718e-004
1.077217345015938e+000	4.416596e-004
1.119360569284165e+000	4.814306e-004
1.163152533576808e+000	5.229354e-004
1.208657740402047e+000	5.662285e-004
1.255943215754785e+000	6.113687e-004
1.305078607841263e+000	6.584182e-004
1.356136289666008e+000	7.074430e-004
1.409191465632221e+000	7.585127e-004
1.464322282312612e+000	8.117002e-004
1.521609943553854e+000	8.670826e-004
1.581138830084183e+000	9.247399e-004
1.642996623800320e+000	9.847563e-004
1.707274436916793e+000	1.047220e-003
1.774066946167869e+000	1.112222e-003
1.843472532259779e+000	1.179858e-003
1.915593424778635e+000	1.250228e-003
1.990535852767477e+000	1.323436e-003
2.068410201194244e+000	1.399590e-003
2.149331173541128e+000	1.478803e-003
2.233417960754805e+000	1.561191e-003
2.320794416806378e+000	1.646878e-003
2.411589241119641e+000	1.735990e-003
2.505936168136349e+000	1.828658e-003
2.603974164297719e+000	1.925022e-003
2.705847632732305e+000	2.025222e-003
2.811706625951731e+000	2.129408e-003
2.921707066867573e+000	2.237735e-003
3.036010978454927e+000	2.350363e-003
3.154786722400950e+000	2.467459e-003
3.278209247089877e+000	2.589197e-003
3.406460345289788e+000	2.715757e-003
3.539728921920670e+000	2.847326e-003
3.678211272298186e+000	2.984101e-003
3.822111371262980e+000	3.126283e-003
3.971641173621385e+000	3.274083e-003
4.127020926340069e+000	3.427720e-003
4.288479492954446e+000	3.587422e-003
4.456254690668702e+000	3.753426e-003
4.630593640643941e+000	3.925975e-003
4.811753131990415e+000	4.105328e-003
5.000000000000000e+000	4.291749e-003
