iin	V(vt)
1.000000000000000e-009	2.976878e-001
1.023292992280754e-009	2.982904e-001
1.047128548050900e-009	2.988792e-001
1.071519305237607e-009	2.994749e-001
1.096478196143185e-009	3.000706e-001
1.122018454301964e-009	3.006663e-001
1.148153621496883e-009	3.012620e-001
1.174897554939530e-009	3.018577e-001
1.202264434617413e-009	3.024534e-001
1.230268770812382e-009	3.030491e-001
1.258925411794167e-009	3.036448e-001
1.288249551693134e-009	3.042405e-001
1.318256738556407e-009	3.048362e-001
1.348962882591654e-009	3.054318e-001
1.380384264602885e-009	3.060275e-001
1.412537544622754e-009	3.066232e-001
1.445439770745927e-009	3.072189e-001
1.479108388168207e-009	3.078146e-001
1.513561248436208e-009	3.084102e-001
1.548816618912481e-009	3.090059e-001
1.584893192461113e-009	3.096015e-001
1.621810097358929e-009	3.101972e-001
1.659586907437560e-009	3.107929e-001
1.698243652461744e-009	3.113886e-001
1.737800828749375e-009	3.119842e-001
1.778279410038922e-009	3.125799e-001
1.819700858609983e-009	3.131755e-001
1.862087136662866e-009	3.137712e-001
1.905460717963246e-009	3.143668e-001
1.949844599758044e-009	3.149625e-001
1.995262314968878e-009	3.155581e-001
2.041737944669528e-009	3.161538e-001
2.089296130854038e-009	3.167494e-001
2.137962089502231e-009	3.173451e-001
2.187761623949551e-009	3.179407e-001
2.238721138568338e-009	3.185363e-001
2.290867652767771e-009	3.191320e-001
2.344228815319920e-009	3.197276e-001
2.398832919019488e-009	3.203232e-001
2.454708915685028e-009	3.209189e-001
2.511886431509577e-009	3.215145e-001
2.570395782768861e-009	3.221101e-001
2.630267991895379e-009	3.227057e-001
2.691534803926912e-009	3.233014e-001
2.754228703338163e-009	3.238970e-001
2.818382931264450e-009	3.244926e-001
2.884031503126602e-009	3.250883e-001
2.951209226666381e-009	3.256839e-001
3.019951720402012e-009	3.262795e-001
3.090295432513586e-009	3.268751e-001
3.162277660168375e-009	3.274707e-001
3.235936569296278e-009	3.280663e-001
3.311311214825906e-009	3.286620e-001
3.388441561392020e-009	3.292576e-001
3.467368504525311e-009	3.298532e-001
3.548133892335748e-009	3.304488e-001
3.630780547701007e-009	3.310444e-001
3.715352290971719e-009	3.316400e-001
3.801893963205605e-009	3.322356e-001
3.890451449942799e-009	3.328312e-001
3.981071705534966e-009	3.334269e-001
4.073802778041120e-009	3.340225e-001
4.168693834703346e-009	3.346181e-001
4.265795188015918e-009	3.352137e-001
4.365158322401651e-009	3.358093e-001
4.466835921509623e-009	3.364049e-001
4.570881896148742e-009	3.370005e-001
4.677351412871973e-009	3.375961e-001
4.786300923226374e-009	3.381917e-001
4.897788193684453e-009	3.387873e-001
5.011872336272713e-009	3.393829e-001
5.128613839913639e-009	3.399785e-001
5.248074602497716e-009	3.405741e-001
