vin	V(vout)
0.000000000000000e+000	1.050000e-011
5.000000000000000e-002	8.085718e-011
1.000000000000000e-001	6.025847e-010
1.500000000000000e-001	3.621921e-009
2.000000000000000e-001	2.418330e-008
2.500000000000000e-001	1.659196e-007
3.000000000000000e-001	1.144659e-006
3.500000000000000e-001	7.903210e-006
4.000000000000000e-001	5.449291e-005
4.500000000000000e-001	3.718091e-004
4.999999999999999e-001	2.376866e-003
5.499999999999999e-001	1.152542e-002
6.000000000000000e-001	3.373316e-002
6.500000000000000e-001	6.622578e-002
7.000000000000001e-001	1.044537e-001
7.500000000000001e-001	1.458089e-001
8.000000000000002e-001	1.890067e-001
8.500000000000002e-001	2.335445e-001
9.000000000000002e-001	2.789480e-001
9.500000000000003e-001	3.249815e-001
1.000000000000000e+000	3.715015e-001
1.050000000000000e+000	4.184049e-001
1.100000000000000e+000	4.656175e-001
1.150000000000000e+000	5.130841e-001
1.200000000000000e+000	5.607629e-001
1.250000000000000e+000	6.086216e-001
1.300000000000001e+000	6.566345e-001
1.350000000000001e+000	7.047811e-001
1.400000000000001e+000	7.530445e-001
1.450000000000001e+000	8.014111e-001
1.500000000000001e+000	8.498691e-001
1.550000000000001e+000	8.984091e-001
1.600000000000001e+000	9.470226e-001
1.650000000000001e+000	9.957025e-001
1.700000000000001e+000	1.044443e+000
1.750000000000001e+000	1.093238e+000
1.800000000000001e+000	1.142084e+000
1.850000000000001e+000	1.190976e+000
1.900000000000001e+000	1.239911e+000
1.950000000000001e+000	1.288885e+000
2.000000000000001e+000	1.337896e+000
2.050000000000001e+000	1.386941e+000
2.100000000000001e+000	1.436018e+000
2.150000000000000e+000	1.485125e+000
2.200000000000000e+000	1.534259e+000
2.250000000000000e+000	1.583419e+000
2.300000000000000e+000	1.632604e+000
2.350000000000000e+000	1.681813e+000
2.400000000000000e+000	1.731042e+000
2.449999999999999e+000	1.780293e+000
2.499999999999999e+000	1.829563e+000
2.549999999999999e+000	1.878851e+000
2.599999999999999e+000	1.928157e+000
2.649999999999999e+000	1.977480e+000
2.699999999999998e+000	2.026819e+000
2.749999999999998e+000	2.076173e+000
2.799999999999998e+000	2.125541e+000
2.849999999999998e+000	2.174923e+000
2.899999999999998e+000	2.224318e+000
2.949999999999998e+000	2.273726e+000
2.999999999999997e+000	2.323145e+000
3.049999999999997e+000	2.372576e+000
3.099999999999997e+000	2.422019e+000
3.149999999999997e+000	2.471472e+000
3.199999999999997e+000	2.520935e+000
3.249999999999996e+000	2.570409e+000
3.299999999999996e+000	2.619891e+000
3.349999999999996e+000	2.669383e+000
3.399999999999996e+000	2.718884e+000
3.449999999999996e+000	2.768393e+000
3.499999999999996e+000	2.817910e+000
3.549999999999995e+000	2.867435e+000
3.599999999999995e+000	2.916968e+000
3.649999999999995e+000	2.966508e+000
3.699999999999995e+000	3.016055e+000
3.749999999999995e+000	3.065609e+000
3.799999999999995e+000	3.115170e+000
3.849999999999994e+000	3.164738e+000
3.899999999999994e+000	3.214311e+000
3.949999999999994e+000	3.263891e+000
3.999999999999994e+000	3.313477e+000
4.049999999999994e+000	3.363068e+000
4.099999999999993e+000	3.412665e+000
4.149999999999993e+000	3.462267e+000
4.199999999999993e+000	3.511875e+000
4.249999999999993e+000	3.561488e+000
4.299999999999993e+000	3.611105e+000
4.349999999999993e+000	3.660728e+000
4.399999999999992e+000	3.710355e+000
4.449999999999992e+000	3.759987e+000
4.499999999999992e+000	3.809623e+000
4.549999999999992e+000	3.859264e+000
4.599999999999992e+000	3.908909e+000
4.649999999999992e+000	3.958558e+000
4.699999999999991e+000	4.008211e+000
4.749999999999991e+000	4.057868e+000
4.799999999999991e+000	4.107528e+000
4.849999999999991e+000	4.157193e+000
4.899999999999991e+000	4.206861e+000
4.949999999999990e+000	4.256533e+000
5.000000000000000e+000	4.306208e+000
